"","year","net_income","total_assets"
"534",2013,31581,264427
"535",2013,10409,333800
"536",2013,619,7157
"537",2013,178549,907924
"538",2013,-5844,221381
"539",2013,12610,129719
"540",2013,129,22912
"541",2013,2638,324214
"542",2013,217,21979
"543",2013,55233,247581
"544",2013,6902,186119
"545",2013,66,107158
"546",2013,100,17673
"547",2013,188335,573950
"548",2013,205,11865
"549",2013,632,29476
"550",2013,1024,1548387
"551",2013,339,52868
"552",2013,1567,60140
"553",2013,-51264,1006561
"554",2013,-14899,522829
"555",2013,13579,80811
"556",2013,135156,488661
"557",2013,62067,493105
"558",2013,15,307564
"559",2013,-244,55054
"560",2013,194006,402233
"561",2013,684544,2418826
"562",2013,18976,375361
"563",2013,2608,104183
"564",2013,3504,62115
"565",2013,170199,1569584
"566",2013,876,83303
"567",2013,241,94143
"568",2013,517,9690
"569",2013,23324,183914
"570",2013,338,18565
"571",2013,3423,253460
"572",2013,72,61156
"573",2013,-4579,89494
"574",2013,-3649,29372
"575",2013,333,19956
"576",2013,48,110635
"577",2013,8652,74202
"578",2013,32270,147437
"579",2013,452,75126
"580",2013,-4863,63586
"581",2013,3429,77047
"582",2013,771,55129
"583",2013,1350,52980
"584",2013,2269,43811
"585",2013,236300,809572
"586",2013,2247,56488
"587",2013,1684,32965
"588",2013,1440,186322
"589",2013,16019,972626
"590",2013,4545,96206
"591",2013,-546,27702
"592",2013,5833,118319
"593",2013,203,10416
"594",2013,-924,26725
"595",2013,2539,41431
"596",2013,-168,113696
"597",2013,434,20753
"598",2013,26382,154425
"599",2013,3860,60904
"600",2013,2651,89397
"601",2013,-3390,204834
"602",2013,14234,314232
"603",2013,3602,22569
"604",2013,47,56480
"605",2013,769,107585
"606",2013,-60522,193113
"607",2013,-1004,169569
"608",2013,1553,33696
"609",2013,1694,15602
"610",2013,483917,3751162
"611",2013,2315,281276
"612",2013,2190,43675
"613",2013,68,28616
"614",2013,442,17417
"615",2013,20751,165852
"616",2013,114,113219
"617",2013,-9093,238230
"618",2013,900,75011
"619",2013,-242,33474
"620",2013,-551,37876
"621",2013,465,90049
"622",2013,1013,173169
"623",2013,747,26173
"624",2013,-2167,30378
"625",2013,1204,17879
"626",2013,-701,34075
"627",2013,3531,206761
"628",2013,9469,242918
"629",2013,29914,176447
"630",2013,6225,276332
"631",2013,2407,25015
"632",2013,100,27931
"633",2013,78373,264939
"634",2013,17,37487
"635",2013,1307,24451
"636",2013,776,21376
"637",2013,1630,29828
"638",2013,602,55769
"639",2013,-11261,173022
"640",2013,63,88061
"641",2013,6148,100699
"642",2013,32974,131971
"643",2013,-34302,136061
"644",2013,92,174172
"645",2013,-6556,141519
"646",2013,19129,353807
"647",2013,-112,19142
"648",2013,27044,390524
"649",2013,11,17426
"650",2013,391,56186
"651",2013,149779,2135492
"652",2013,56791,2388742
"653",2013,-738,130203
"654",2013,17059,130804
"655",2013,2547,80379
"656",2013,1032,287206
"657",2013,-2009,39225
"658",2013,-36059,224717
"659",2013,6215,222353
"660",2013,308,23790
"661",2013,154264,3141271
"662",2013,-256,61356
"663",2013,-739,46591
"664",2013,1610,72994
"665",2013,592,19088
"666",2013,7317,74942
"667",2013,-1088,32186
"668",2013,-7848,198347
"669",2013,882,21776
"670",2013,5736,280400
"671",2013,54,129846
"672",2013,826,25211
"673",2013,13841,138028
"674",2013,200,116855
"675",2013,1117,22360
"676",2013,58,45629
"677",2013,1624,158966
"678",2013,4517,126593
"679",2013,295,134102
"680",2013,-418,31855
"681",2013,4999,57926
"682",2013,25342,196295
"683",2013,30855,183299
"684",2013,929,33076
"685",2013,174,6371
"686",2013,33321,292757
"687",2013,11000,201604
"688",2013,7712,66736
"689",2013,128,29493
"690",2013,137380,637267
"691",2013,-11686,76148
"692",2013,35332,355341
"693",2013,5147,26650
"694",2013,-684,76110
"695",2013,205,63235
"696",2013,13017,126918
"697",2013,54,23958
"698",2013,9922,549686
"699",2013,38689,80152
"700",2013,390,8151
"701",2013,21698,130094
"702",2013,547,59045
"703",2013,1632,48570
"704",2013,8429,433139
"705",2013,359,21318
"706",2013,4916,1660380
"707",2013,1025,64460
"708",2013,498,22233
"709",2013,-4120,224680
"710",2013,1503,105927
"711",2013,2440,33342
"712",2013,1586,17150
"713",2013,-1603,84672
"714",2013,34,63927
"715",2013,116,28973
"716",2013,1373,41248
"717",2013,100,19883
"718",2013,17,12343
"719",2013,39555,652858
"720",2013,2332,47397
"721",2013,357,254448
"722",2013,36266,363008
"723",2013,2644,116999
"724",2013,-274,136953
"725",2013,58,31563
"726",2013,13208,285737
"727",2013,917,48624
"728",2013,4728,83936
"729",2013,1,27296
"730",2013,6229,182661
"731",2013,2984,134895
"732",2013,160,8019
"733",2013,83206,3312813
"734",2013,881,32144
"735",2013,632,31245
"736",2013,578,265050
"737",2013,230,18162
"738",2013,34290,1265522
"739",2013,277,60887
"740",2013,1188,106515
"741",2013,34,338635
"742",2013,179,16996
"743",2013,29,34446
"744",2013,17,30705
"745",2013,2436,39979
"746",2013,-4177,125445
"747",2013,791,48087
"748",2013,101,4252
"749",2013,88,87682
"750",2013,4931,603494
"751",2013,7436,175628
"752",2013,6432,72971
"753",2013,-578100,14695860
"754",2013,3532,94526
"755",2013,176,19327
"756",2013,10149,67835
"757",2013,780,18345
"758",2013,-10093,115457
"759",2013,-527,22734
"760",2013,0,5515
"761",2013,101,34476
"762",2013,131,32468
"763",2013,5079,177461
"764",2013,299,50466
"765",2013,89,43428
"766",2013,35936,751776
"767",2013,98,13567
"768",2013,-1283,40395
"769",2013,7825,83525
"770",2013,1984,123468
"771",2013,57,34946
"772",2013,-118,194475
"773",2013,315,17951
"774",2013,38,5554
"775",2013,539,28567
"776",2013,394,14819
"777",2013,-3428,67939
"778",2013,46,44957
"779",2013,2285,27258
"780",2013,35256,292638
"781",2013,920,108154
"782",2013,6245,203487
"783",2013,32902,137631
"784",2013,15021,196540
"785",2013,6834,296449
"786",2013,653,66325
"787",2013,2003,121656
"788",2013,242580,2280150
"789",2013,1133,68107
"790",2013,46664,473924
"791",2013,-8961,105511
"792",2013,147093,629755
"793",2013,811,25907
"794",2013,21,62884
"795",2013,452,26440
"796",2013,1216,81364
"797",2013,678,40447
"798",2013,883,29071
"799",2013,1512,40110
"800",2013,15970,430983
"801",2013,3073,191786
"802",2013,1275,161973
"803",2013,5294,558825
"804",2013,402554,1066076
"805",2013,10758,192471
"806",2013,312,38509
"807",2013,2512,49602
"808",2013,-29,399
"809",2013,421,35948
"810",2013,10948,151643
"811",2013,2682,12463
"812",2013,2390,778727
"813",2013,-281,50646
"814",2013,198,70561
"815",2013,445,36189
"816",2013,8617,156419
"817",2013,-27871,254904
"818",2013,726,33575
"819",2013,-23,100715
"820",2013,880,67437
"821",2013,-41816,102292
"822",2013,290,96542
"823",2013,294,15675
"824",2013,-24179,355340
"825",2013,15462,497958
"826",2013,6767,46664
"827",2013,10142,285684
"828",2013,-1222,79883
"829",2013,135,49853
"830",2013,1190,79756
"831",2013,419,74773
"832",2013,2208,26416
"833",2013,73934,396518
"834",2013,28169,203603
"835",2013,262,5708
"836",2013,75559,833156
"837",2013,607,25191
"838",2013,-832,61006
"839",2013,3695,54597
"840",2013,20185,391740
"841",2013,3586,61231
"842",2013,-4839,315145
"843",2013,-16,11585
"844",2013,-18,5367
"845",2013,-18,852820
"846",2013,2347,28938
"847",2013,-10240,427841
"848",2013,-300,15135
"849",2013,4,48082
"850",2013,144,36590
"851",2013,483,39602
"852",2013,747,27319
"853",2013,139,32947
"854",2013,11286,151118
"855",2013,-5554,570899
"856",2013,1413,171586
"857",2013,169,18039
"858",2013,535,22354
"859",2013,42,45834
"860",2013,124761,868887
"861",2013,5281,173811
"862",2013,6642,156423
"863",2013,-22826,186261
"864",2013,7506,84952
"865",2013,105,78807
"866",2013,36679,909512
"867",2013,352,81936
"868",2013,1441,12972
"869",2013,51,74746
"870",2013,33046,122928
"871",2013,3247,94128
"872",2013,734,15440
"873",2013,-7662,41350
"874",2013,-11419,346925
"875",2013,2334,11157
"876",2013,-11730,164326
"877",2013,44224,247228
"878",2013,9740,91254
"879",2013,-880600,8855833
"880",2013,4085,476187
"881",2013,-2779,33373
"882",2013,13971,7685175
"883",2013,46275,638288
"884",2013,790238,59835768
"885",2013,17252,683699
"886",2013,711,233592
"887",2013,-239073,3091792
"888",2013,12986,626594
"889",2013,-3734,998571
"890",2013,4983,10643
"891",2013,-23027,379684
"892",2013,2993,38896
"893",2013,2114,606938
"894",2013,9658,660571
"895",2013,91506,6594287
"896",2013,320731,612643
"897",2013,21902,547190
"898",2013,36066,3680399
"899",2013,58156,6687258
"900",2013,8532,228758
"901",2013,55453,77841168
"902",2013,3161,8924410
"903",2013,1025,416075
"904",2013,38605,667438
"905",2013,-67759,1250258
"906",2013,-223531,12128509
"907",2013,462109,3229184
"908",2013,332193,2928714
"909",2013,9868,385131
"910",2013,45001,402118
"911",2013,2492,63745
"912",2013,-121586,1533212
"913",2013,-37976,1318871
"914",2013,-32461,559406
"915",2013,-8621,115087
"916",2013,-12498,108294
"917",2013,104509,2506205
"918",2013,2099,165995
"919",2013,30415,448090
"920",2013,-7351,191372
"921",2013,19307,404878
"922",2013,168329,176587
"923",2013,24274,267805
"924",2013,594,87177
"925",2013,224293,601513
"926",2013,10559,1091172
"927",2013,13995,61128
"928",2013,45369,198226
"929",2013,1308257,2945875
"930",2013,-10102,458087
"931",2013,3520,63240
"932",2013,-399558,8652814
"933",2013,9627,520827
"934",2013,75454,6425818
"935",2013,1710,24363
"936",2013,-3894,90014
"937",2013,-487,148863
"938",2013,16163,250186
"939",2013,-15077,175737
"940",2013,430943,4489266
"941",2013,1645,27451
"942",2013,24593,232564
"943",2013,4,13625
"944",2013,3533,190973
"945",2013,49595,300756
"946",2013,10,11810
"947",2013,-3554,450829
"948",2013,505,552581
"949",2013,-10880,3215830
"950",2013,40,11888
"951",2013,903,28665
"952",2013,-39890,493843
"953",2013,58,65553
"954",2013,212,85990
"955",2013,1554,38525
"956",2013,221,3144943
"957",2013,184,542298
"958",2013,5987,1343729
"959",2013,968,40023
"960",2013,-55,49947
"961",2013,3171,113859
"962",2013,5001,75694
"963",2013,0,69614
"964",2013,3464,194803
"965",2013,22139,564194
"966",2013,349,84542
"967",2013,5041,26025
"968",2013,72933,454650
"969",2013,-9,75785
"970",2013,25197,7006520
"971",2013,1517,257243
"972",2013,181,26226
"973",2013,712,19562
"974",2013,3090,117144
"975",2013,762,55787
"976",2013,16347,353181
"977",2013,11427,152292
"978",2013,2851,563773
"979",2013,503,67143
"980",2013,368,18599
"981",2013,81935,575928
"982",2013,4566,27352
"983",2013,29334,720413
"984",2013,-879,58041
"985",2013,155,120363
"986",2013,3316,57263
"987",2013,1711,62200
"988",2013,105,9827
"989",2013,-2124,21825
"990",2013,4720,92464
"991",2013,47728,561244
"992",2013,-3498,424692
"993",2013,689,81880
"994",2013,773,26472
"995",2013,-1070,47861
"996",2013,422,113271
"997",2013,16160,12620720
"998",2013,1146,591212
"999",2013,41622,22805394
"1000",2013,-72337,208629
"1001",2013,102,22750
"1002",2013,-3297,282415
"1003",2013,-30018,195752
"1004",2013,-1488,27538
"1005",2013,-5392,136987
"1006",2013,43810,185755
"1007",2013,2261,78006
"1008",2013,2704,889269
"1009",2013,89,32359
"1010",2013,380,25431
"1011",2013,3327,16790
"1012",2013,14834,44784
"1013",2013,-264,19306
"1014",2013,-1869,31558
"1015",2013,2582,42285
"1016",2013,1500,11400
"1017",2013,4402,49527
"1018",2013,2520,19331
"1019",2013,289,24783
"1020",2013,6060,97780
