"","parameter","method","value","data_type","iterations","metric"
"448","slope","boot_resid","0.986","sim_NIDS_outlier",120,"coverage"
"449","slope","boot_resid","0.002","sim_NIDS_outlier",120,"too_high"
"450","slope","boot_resid","0.012","sim_NIDS_outlier",120,"too_low"
"451","sigma","boot_resid","0.542","sim_NIDS_outlier",120,"coverage"
"452","sigma","boot_resid","0.458","sim_NIDS_outlier",120,"too_high"
"453","sigma","boot_resid","0","sim_NIDS_outlier",120,"too_low"
"454","itct","boot_resid_bca","0.978","sim_NIDS_outlier",120,"coverage"
"455","itct","boot_resid_bca","0.004","sim_NIDS_outlier",120,"too_high"
"456","itct","boot_resid_bca","0.018","sim_NIDS_outlier",120,"too_low"
"457","slope","boot_resid_bca","0.984","sim_NIDS_outlier",120,"coverage"
"458","slope","boot_resid_bca","0.004","sim_NIDS_outlier",120,"too_high"
"459","slope","boot_resid_bca","0.012","sim_NIDS_outlier",120,"too_low"
"460","sigma","boot_resid_bca","0.548","sim_NIDS_outlier",120,"coverage"
"461","sigma","boot_resid_bca","0.452","sim_NIDS_outlier",120,"too_high"
"462","sigma","boot_resid_bca","0","sim_NIDS_outlier",120,"too_low"
"463","itct","wild","0.98","sim_NIDS_outlier",120,"coverage"
"464","itct","wild","0","sim_NIDS_outlier",120,"too_high"
"465","itct","wild","0.02","sim_NIDS_outlier",120,"too_low"
"466","slope","wild","0.988","sim_NIDS_outlier",120,"coverage"
"467","slope","wild","0.004","sim_NIDS_outlier",120,"too_high"
"468","slope","wild","0.008","sim_NIDS_outlier",120,"too_low"
"469","sigma","wild","0.554","sim_NIDS_outlier",120,"coverage"
"470","sigma","wild","0.446","sim_NIDS_outlier",120,"too_high"
"471","sigma","wild","0","sim_NIDS_outlier",120,"too_low"
"472","itct","wild_bca","0.982","sim_NIDS_outlier",120,"coverage"
"473","itct","wild_bca","0.002","sim_NIDS_outlier",120,"too_high"
"474","itct","wild_bca","0.016","sim_NIDS_outlier",120,"too_low"
"475","slope","wild_bca","0.99","sim_NIDS_outlier",120,"coverage"
"476","slope","wild_bca","0.002","sim_NIDS_outlier",120,"too_high"
"477","slope","wild_bca","0.008","sim_NIDS_outlier",120,"too_low"
"478","sigma","wild_bca","0.56","sim_NIDS_outlier",120,"coverage"
"479","sigma","wild_bca","0.44","sim_NIDS_outlier",120,"too_high"
"480","sigma","wild_bca","0","sim_NIDS_outlier",120,"too_low"
"481","itct","model","0.832","sim_NIDS_outlier",240,"coverage"
"482","itct","model","0","sim_NIDS_outlier",240,"too_high"
"483","itct","model","0.168","sim_NIDS_outlier",240,"too_low"
"484","slope","model","0.952","sim_NIDS_outlier",240,"coverage"
"485","slope","model","0.048","sim_NIDS_outlier",240,"too_high"
"486","slope","model","0","sim_NIDS_outlier",240,"too_low"
"487","itct","cases","0.832","sim_NIDS_outlier",240,"coverage"
"488","itct","cases","0","sim_NIDS_outlier",240,"too_high"
"489","itct","cases","0.168","sim_NIDS_outlier",240,"too_low"
"490","slope","cases","0.95","sim_NIDS_outlier",240,"coverage"
"491","slope","cases","0.05","sim_NIDS_outlier",240,"too_high"
"492","slope","cases","0","sim_NIDS_outlier",240,"too_low"
"493","sigma","cases","0.15","sim_NIDS_outlier",240,"coverage"
"494","sigma","cases","0.85","sim_NIDS_outlier",240,"too_high"
"495","sigma","cases","0","sim_NIDS_outlier",240,"too_low"
"496","itct","cases_bca","0.822","sim_NIDS_outlier",240,"coverage"
"497","itct","cases_bca","0","sim_NIDS_outlier",240,"too_high"
"498","itct","cases_bca","0.178","sim_NIDS_outlier",240,"too_low"
"499","slope","cases_bca","0.952","sim_NIDS_outlier",240,"coverage"
"500","slope","cases_bca","0.048","sim_NIDS_outlier",240,"too_high"
"501","slope","cases_bca","0","sim_NIDS_outlier",240,"too_low"
"502","sigma","cases_bca","0.16","sim_NIDS_outlier",240,"coverage"
"503","sigma","cases_bca","0.84","sim_NIDS_outlier",240,"too_high"
"504","sigma","cases_bca","0","sim_NIDS_outlier",240,"too_low"
"505","itct","boot_resid","0.836","sim_NIDS_outlier",240,"coverage"
"506","itct","boot_resid","0","sim_NIDS_outlier",240,"too_high"
"507","itct","boot_resid","0.164","sim_NIDS_outlier",240,"too_low"
"508","slope","boot_resid","0.948","sim_NIDS_outlier",240,"coverage"
"509","slope","boot_resid","0.052","sim_NIDS_outlier",240,"too_high"
"510","slope","boot_resid","0","sim_NIDS_outlier",240,"too_low"
"511","sigma","boot_resid","0.156","sim_NIDS_outlier",240,"coverage"
"512","sigma","boot_resid","0.844","sim_NIDS_outlier",240,"too_high"
"513","sigma","boot_resid","0","sim_NIDS_outlier",240,"too_low"
"514","itct","boot_resid_bca","0.83","sim_NIDS_outlier",240,"coverage"
"515","itct","boot_resid_bca","0","sim_NIDS_outlier",240,"too_high"
"516","itct","boot_resid_bca","0.17","sim_NIDS_outlier",240,"too_low"
"517","slope","boot_resid_bca","0.952","sim_NIDS_outlier",240,"coverage"
"518","slope","boot_resid_bca","0.048","sim_NIDS_outlier",240,"too_high"
"519","slope","boot_resid_bca","0","sim_NIDS_outlier",240,"too_low"
"520","sigma","boot_resid_bca","0.156","sim_NIDS_outlier",240,"coverage"
"521","sigma","boot_resid_bca","0.844","sim_NIDS_outlier",240,"too_high"
"522","sigma","boot_resid_bca","0","sim_NIDS_outlier",240,"too_low"
"523","itct","wild","0.834","sim_NIDS_outlier",240,"coverage"
"524","itct","wild","0","sim_NIDS_outlier",240,"too_high"
"525","itct","wild","0.166","sim_NIDS_outlier",240,"too_low"
"526","slope","wild","0.946","sim_NIDS_outlier",240,"coverage"
"527","slope","wild","0.054","sim_NIDS_outlier",240,"too_high"
"528","slope","wild","0","sim_NIDS_outlier",240,"too_low"
"529","sigma","wild","0.148","sim_NIDS_outlier",240,"coverage"
"530","sigma","wild","0.852","sim_NIDS_outlier",240,"too_high"
"531","sigma","wild","0","sim_NIDS_outlier",240,"too_low"
"532","itct","wild_bca","0.83","sim_NIDS_outlier",240,"coverage"
"533","itct","wild_bca","0","sim_NIDS_outlier",240,"too_high"
"534","itct","wild_bca","0.17","sim_NIDS_outlier",240,"too_low"
"535","slope","wild_bca","0.95","sim_NIDS_outlier",240,"coverage"
"536","slope","wild_bca","0.05","sim_NIDS_outlier",240,"too_high"
"537","slope","wild_bca","0","sim_NIDS_outlier",240,"too_low"
"538","sigma","wild_bca","0.15","sim_NIDS_outlier",240,"coverage"
"539","sigma","wild_bca","0.85","sim_NIDS_outlier",240,"too_high"
"540","sigma","wild_bca","0","sim_NIDS_outlier",240,"too_low"
